{2025.04.18_21.37.50}boot.spinand deleted!
{2025.04.18_21.37.50}cfg.spinand deleted!
{2025.04.18_21.37.50}fip.bin deleted!
{2025.04.18_21.37.50}fip_spl.bin deleted!
{2025.04.18_21.37.50}fw_payload_uboot.bin deleted!
{2025.04.18_21.37.50}partition_spinand.xml deleted!
{2025.04.18_21.37.50}ramboot.itb deleted!
{2025.04.18_21.37.50}rootfs.spinand deleted!
{2025.04.18_21.37.50}system.spinand deleted!
{2025.04.18_21.37.50}upgrade.zip deleted!
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.56}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.57}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.58}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.18_21.37.58}[INFO] USB download start...
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.58}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.59}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.18_21.37.59}[INFO] set MGN1 flag
{2025.04.18_21.37.59}[INFO] break
{2025.04.18_21.37.59}[INFO] Connecting to ROM 2nd stage...
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.59}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.18_21.37.59}[INFO] fip_tx_offset: 4096, fip_tx_size: 33792
{2025.04.18_21.37.59}[INFO] set MGN1 flag
{2025.04.18_21.37.59}[INFO] break
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.59}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.18_21.37.59}[INFO] fip_tx_offset: 37888, fip_tx_size: 4096
{2025.04.18_21.37.59}[INFO] set MGN1 flag
{2025.04.18_21.37.59}[INFO] break
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.59}[INFO] Waiting for USB device connection:  \    
