{2025.04.24_17.13.34}boot.spinor deleted!
{2025.04.24_17.13.34}data.spinor deleted!
{2025.04.24_17.13.34}fip.bin deleted!
{2025.04.24_17.13.34}fip_spl.bin deleted!
{2025.04.24_17.13.34}fw_payload_uboot.bin deleted!
{2025.04.24_17.13.34}partition_spinor.xml deleted!
{2025.04.24_17.13.34}ramboot.itb deleted!
{2025.04.24_17.13.34}rootfs.spinor deleted!
{2025.04.24_17.13.34}upgrade.zip deleted!
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.42}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.43}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.43}[INFO] USB download start...
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.43}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.43}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.43}[INFO] set MGN1 flag
{2025.04.24_17.13.43}[INFO] break
{2025.04.24_17.13.43}[INFO] Connecting to ROM 2nd stage...
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.43}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.44}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.44}[INFO] fip_tx_offset: 4096, fip_tx_size: 33792
{2025.04.24_17.13.44}[INFO] set MGN1 flag
{2025.04.24_17.13.44}[INFO] break
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.44}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.44}[INFO] fip_tx_offset: 37888, fip_tx_size: 4096
{2025.04.24_17.13.44}[INFO] set MGN1 flag
{2025.04.24_17.13.44}[INFO] break
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.44}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.45}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.45}[INFO] fip_tx_offset: 41984, fip_tx_size: 8192
{2025.04.24_17.13.45}[INFO] set MGN1 flag
{2025.04.24_17.13.45}[INFO] break
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.45}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.45}[INFO] fip_tx_offset: 50176, fip_tx_size: 78336
{2025.04.24_17.13.45}[INFO] set MGN1 flag
{2025.04.24_17.13.45}[INFO] break
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  |     
